Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,Chocolate makes you.....,When is your birthday (date)?,age,Number of neighbors sitting around you?,Did you stand up?,"You can get _еµ_„ 100 if you win a local DM competition, or we don‰ЫЎ_З____С___t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would get then?",Give a random number,Time you went to be Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4/3/17 15:50,AI,yes,yes,unknown,no,male,neither,3/7/91,26,1,no,10,8,1:00,sdf,sdf
4/3/17 15:50,Finance,no,unknown,mu,no,male,fat,2/12/90,27,5,no,0.3,2,10:30,sun,beer
4/3/17 15:50,AI,yes,yes,mu,yes,male,unknown,3/9/91,26,4,no,,1,0:30,Sleep late,Donuts
4/3/17 15:50,AI,yes,yes,mu,yes,male,neither,1/1/70,47,200,no,0,456,1:02,good food,no programming errors
4/3/17 15:50,CS,yes,no,mu,no,male,neither,19/01/1991,26,4,no,100,19,2:00,Movie,Sleep
4/3/17 15:51,BA,yes,yes,mu,yes,male,other,27-11-1990,27,1,no,0.25,,3:00,Food,Sleep
4/3/17 15:51,Bio,no,yes,mu,yes,male,fat,30.4.1990,27,1,no,60,5,23:00,SUN,football
4/3/17 15:51,BA,yes,yes,mu,yes,male,fat,2-Apr-94,23,5,no,0.3,66,0:00,Food,Positivity
4/3/17 15:51,Other,yes,no,mu,yes,female,other,19-04-1990,27,0,no,0.12,19,0:00,Good breakfast,Good dinner
4/3/17 15:51,CS ,no,no,mu,no,unknown,slim,15/08/1993,24,2,no,100,150,0:00,566,46555
4/3/17 15:51,Bio,yes,no,mu,yes,female,slim,14/07/1995,22,1,no,0.33,66,23:00,Chocolate,sunny
4/3/17 15:51,BA,yes,yes,mu,yes,unknown,neither,26-05-1990,27,1,no,1,69,1:00,Waking up,Dancing
4/3/17 15:51,AI,no,no,mu,yes,male,other,28/05/1990,27,4,no,0.16,7,0:00,sleep,snooze
4/3/17 15:51,LS,no,no,unknown,no,female,fat,22-12-1993,24,2,no,100,23,23:30,Netflix and food,Visiting family
4/3/17 15:51,AI,no,no,unknown,unknown,male,unknown,11 1,25,1,no,1,7,22:22,u,e
4/3/17 15:51,Econ,no,no,mu,no,male,other,July,25,2,no,0,34,0:00,Yes,No
4/3/17 15:52,AI,yes,yes,mu,yes,male,neither,27/03/1994,23,3,no,0,9,23:30,Sunny day,Not rainy
4/3/17 15:52,Bio,yes,no,mu,no,male,slim,17-03-1981,36,1,no,100,,0:00,unproper,again
4/3/17 15:52,LS,no,no,mu,yes,female,neither,9,25,5,no,50,4,23:00,complete all tasks planned,having lots of food to eat
4/3/17 15:52,AI,yes,yes,mu,yes,male,other,27-12-1990,27,1,no,0.3,31910,23:40,filling out nonsensical forms for a course,if i collect enough data
4/3/17 15:52,Econ,no,no,sigma,no,male,fat,17-05-1992,25,300,unknown,0,37578887443,23:45,Sunny weather,Being with friends
4/3/17 15:52,CS,no,no,sigma,yes,male,other,20/09/1994,23,4,no,100,42,,Pils,In de zon
4/3/17 15:52,AI,no,no,mu,no,male,other,2061987,25,1,no,100,36,16:00,sunshine,my stock goes up
4/3/17 15:52,Bio,yes,no,mu,yes,male,slim,11/6/94,23,2,no,100,7,2:00,A lot of sleep,Alcohol
4/3/17 15:52,AI,yes,yes,mu,yes,male,neither,10/1/93,24,2,no,100,265000234,,No one stealing my bike,No one stealing by back wheel
4/3/17 15:52,BA,yes,yes,mu,yes,female,fat,6/7/94,23,10,no,1,6,0:33,Gym session leg day,Cold but sunny weather
4/3/17 15:52,AI,no,no,unknown,unknown,male,unknown,11 1,25,1,no,1,7,22:22,ffg,hhfg
4/3/17 15:52,AI,no,no,mu,no,female,fat,13-03-1994,23,1,no,20,85,23:00,Sports,Sun
4/3/17 15:52,CS,unknown,no,unknown,yes,unknown,unknown,7/4/93,24,5,no,100,7,,Getting a 10 in this course.,Getting a 11 in this course.
4/3/17 15:53,BA,no,no,mu,no,female,unknown,10.12.1992,25,1,no,3,62,1:00,coffee,sun
4/3/17 15:53,BA,yes,yes,mu,yes,male,slim,17-11-1993,24,6,no,100,9,2:00,lachen,nog meer lachen
4/3/17 15:53,Other,no,yes,mu,yes,male,fat,17-07-1989,28,1,no,100,50,0:00,gymming and studies,hard work
4/3/17 15:53,Econ,no,no,mu,no,male,other,9/8/92,25,5,no,0.3,37,1:00,The sun,Good food
4/3/17 15:54,BA,yes,yes,mu,yes,male,fat,4/2/94,23,1,yes,100,21,23:30,Good weather,Good work
4/3/17 15:54,AI,yes,no,mu,no,male,other,3/8/94,23,1,no,5,44,1:15,Sleep,Sport
4/3/17 15:54,CS,yes,no,mu,no,male,fat,11-May,25,4,unknown,100,6674,23:59,No responsibilities,Nice Weather
4/3/17 15:54,Econ,no,yes,mu,yes,male,fat,26/02/1994,23,8,no,0.33,0.126422343,23:30,Good weather,Friends
4/3/17 15:54,Other,yes,yes,mu,yes,male,other,5/2/92,25,4,no,100,5,1:00,sleep till 10:00,No stress
4/3/17 15:54,AI,yes,yes,mu,yes,unknown,neither,4/9/94,23,5,no,0,16,,sun,"a lot of work (haha, just kidding? Or?)"
4/3/17 15:54,AI,no,yes,mu,no,female,neither,21-01-1988,29,6,no,1,73512,23:00,Coffee,Chocolade
4/3/17 15:54,Econ,no,yes,mu,no,male,other,28-12-1993,24,1,no,5,1,1:00,No,Yes
4/3/17 15:55,BA,yes,yes,mu,yes,male,fat,28-04-995,25,1,no,100,69,0:00,Bacon,Money
4/3/17 15:55,Econ,no,no,mu,no,male,other,2/7/93,24,2,no,0.47,5,0:00,Friends,Mathematics
4/3/17 15:55,CS,yes,unknown,unknown,yes,male,neither,China,25,300,no,,1,0:00,You,Not DM
4/3/17 15:55,Bio,yes,yes,unknown,yes,male,neither,7/8/91,26,6,no,8,28,1:30,Good food,Coffee
4/3/17 15:55,CS,yes,yes,unknown,yes,female,neither,25/09/1993,24,1,no,5,7,0:00,Sunny,Beer
4/3/17 15:55,BA,no,unknown,mu,no,unknown,other,29/01/1855,25,-1,unknown,100,,2:21,1,2
4/3/17 15:55,CS,no,yes,mu,yes,male,neither,20-02-1992,25,0,no,10,32,1:30,XTC,dancing
4/3/17 15:55,BA,no,no,sigma,no,male,fat,29/04/1994,23,0,no,5,1,23:00,Fun,Exercise
4/3/17 15:55,CS,yes,no,mu,yes,male,neither,30.12.1992,25,3,no,3,2,1:57,Food,Sleep
4/3/17 15:55,BA,yes,yes,sigma,yes,male,slim,1/9/95,22,1,no,40,4,23:00,A day with programming <3,A neural network which has too many nodes it's a black box
4/3/17 15:55,BA,no,no,mu,no,male,fat,5/7/90,27,0,no,0.8,10,0:06,sun,sex
4/3/17 15:55,BA,yes,yes,sigma,yes,male,other,2/2/94,23,2000,no,30,7,0:00,Sleep,Food
4/3/17 15:55,CS,no,no,mu,no,male,other,20-12-1700,25,5,no,0.3,9,23:30,sex,sun
4/3/17 15:55,BA,yes,unknown,mu,yes,male,fat,31-01-95,22,7,yes,0.29,2,2:00,Data mining hc,Data mining projects
4/3/17 15:55,AI,yes,yes,mu,yes,female,neither,1993,24,5,no,0.2,6,1:30,Sunshine,Friends
4/3/17 15:55,Other,no,no,sigma,no,male,neither,16/09/1991,26,11,no,,9,7:12,sun ,chill
4/3/17 15:55,Bio,no,yes,unknown,no,male,fat,21-02-1980,36,6,no,0.3333,2.3,22:15,Beer,Sex
4/3/17 15:55,BA,no,no,mu,yes,female,other,3-Jul,25,4,unknown,100,3,0:00,No class,Coffee in the morning 
4/3/17 15:55,LS,yes,no,mu,yes,male,other,29-07-1990,27,6,no,80,3.14,2:30,Apples and Oranges,Enough Sleep
4/3/17 15:55,Other,no,no,mu,no,female,fat,16-12-1990,27,1,no,0.7,4,12:00,Food,Sex
4/3/17 15:55,BA,yes,yes,sigma,yes,male,fat,5/7/95,22,1,no,100,5,0:30,Sunshine ,Kapsalondag
4/3/17 15:55,CS,no,no,mu,yes,male,neither,12/11/94,23,3,no,1,5,2:00,Holiday ,Traveling
4/3/17 15:55,Econ,no,no,mu,no,male,fat,24-12-1992,25,4,no,1,96,23:30,Beer,Music
4/3/17 15:55,LS,no,no,mu,no,female,slim,8/1/95,22,8,no,1,9,2:00,Waking up next to the SO,Having tea
4/3/17 15:55,Other,no,no,mu,yes,male,other,30/01,25,0,no,20,7,2:00,No rain ,Bike not broken 
4/3/17 15:55,LS,yes,no,unknown,no,male,other,18/02/1993,24,5,no,0.5,1,23:59,Coffee,Sleep
4/3/17 15:55,CS,no,unknown,mu,no,female,fat,28-08-1993,24,7,no,25,3,1:00,Sunny,Free
4/3/17 15:55,BA,yes,yes,mu,yes,female,other,2/11/92,25,300,no,10,4,4:00,sleep,food
4/3/17 15:55,CS,no,no,mu,no,male,fat,7/3/91,26,5,no,4,6,23:00,SEX,MONEY
4/3/17 15:55,Econ,yes,no,mu,no,male,neither,April,25,0,no,0.3,1,2:30,sun,sports
4/3/17 15:55,Other,no,no,mu,no,male,slim,14-06-1994,23,158,yes,,,,Bitches,Booze
4/3/17 15:55,Bio,yes,no,mu,no,female,fat,07.11.1989,28,1,no,1,7,1:30,Lots of sleep,Good food
4/3/17 15:55,Other,no,no,mu,no,male,neither,20-4-1994,23,6,no,0.3,42,1:00,weed,sex
4/3/17 15:55,Other,no,no,mu,no,male,slim,27/10,25,7,no,1,4,23:00,Sun,Running
